variable,value
GammaCV,0.036467006376597035
AlphaCV,0.19358679950754065
PhiCV,0.18837548050468472
GammaTBD,0.010115968874253865
AlphaTBD,0.0209247279356274
PhiTBD,0.4834456584274127
GammaHBD,0.13662300318627263
AlphaHBD,0.2714324433374478
PhiHBD,0.5033407263568025
