"year","month","tmean"
2008,"May",4.5
2008,"Jun",10
2008,"Jul",14.6
2008,"Aug",13
2008,"Sep",8.8
2008,"Oct",4.6
2008,"Nov",0.7
2008,"Dec",-6.3
2009,"Jan",-4.1
2009,"Feb",-3.1
2009,"Mar",-1.3
2009,"Apr",0.2
2009,"May",6.5
2009,"Jun",9.5
2009,"Jul",13
2009,"Aug",12.5
2009,"Sep",9.1
2009,"Oct",0.5
2009,"Nov",0.9
2009,"Dec",-8.8
2010,"Jan",-4.9
2010,"Feb",-7.2
2010,"Mar",-2.3
2010,"Apr",1
2010,"May",3.4
2010,"Jun",11.2
2010,"Jul",14
2010,"Aug",13.3
2010,"Sep",11.3
2010,"Oct",4.7
2010,"Nov",-2.5
2010,"Dec",-3.3
2011,"Jan",-6.7
2011,"Feb",-8.1
2011,"Mar",-1.5
2011,"Apr",0.2
2011,"May",3.1
2011,"Jun",10.3
2011,"Jul",14.5
2011,"Aug",14.9
2011,"Sep",9.5
2011,"Oct",4.3
2011,"Nov",-1.7
2011,"Dec",-5.6
2012,"Jan",-3.9
2012,"Feb",-6.7
2012,"Mar",1.1
2012,"Apr",4
2012,"May",6.4
2012,"Jun",13.8
2012,"Jul",14.8
2012,"Aug",13.9
2012,"Sep",9.9
2012,"Oct",3.6
2012,"Nov",1.4
2012,"Dec",-5.3
2013,"Jan",-6
2013,"Feb",-6.9
2013,"Mar",-3.2
2013,"Apr",-1.6
2013,"May",5.3
2013,"Jun",12
2013,"Jul",13.7
2013,"Aug",13.7
2013,"Sep",10.4
2013,"Oct",2.5
2013,"Nov",-0.9
2013,"Dec",-6.4
2014,"Jan",-5.4
2014,"Feb",-6
2014,"Mar",-1.9
2014,"Apr",0.9
2014,"May",5.1
2014,"Jun",10.7
2014,"Jul",14
2014,"Aug",12
2014,"Sep",10.4
2014,"Oct",5.9
2014,"Nov",-2.1
2014,"Dec",-4
