variable,value
GammaCV,0.03315063235986233
AlphaCV,0.18247980662159435
PhiCV,0.18166740185453123
GammaTBD,0.009702391206858922
AlphaTBD,0.019471510414795303
PhiTBD,0.4982865222148674
GammaHBD,0.13140265722775132
AlphaHBD,0.24979933592063513
PhiHBD,0.5260328525032583
