DATE,tot.bio
2004,1293.7170868055557
2005,1592.6140833333334
2006,1642.2630555555554
2007,1881.7849600694444
2008,2180.6090538194444
2009,1921.2250243055548
2010,1932.6068038194444
2011,1672.8799322682291
2012,1606.842485492917
2013,1339.8258699308333
2014,1878.3781681383334
2015,1286.1476642041666
2016,1605.6645642925
2017,1142.2665952124999
