variable,value
GammaCV,0.03315063235986232
AlphaCV,0.18247980662159427
PhiCV,0.18166740185453126
GammaTBD,0.00970239120685892
AlphaTBD,0.0194715104147953
PhiTBD,0.4982865222148674
GammaHBD,0.13140265722775135
AlphaHBD,0.24979933592063513
PhiHBD,0.5260328525032584
