variable,value
GammaCV,0.0337330946587051
AlphaCV,0.34505803177721006
PhiCV,0.09776064184034179
GammaTBD,0.010278954282867283
AlphaTBD,0.02743231177201265
PhiTBD,0.37470244463152436
GammaHBD,0.1394682711297893
AlphaHBD,NaN
PhiHBD,NaN
