variable,value
GammaCV,0.03373309465870509
AlphaCV,0.34505803177721006
PhiCV,0.09776064184034174
GammaTBD,0.010278954282867283
AlphaTBD,0.02743231177201265
PhiTBD,0.37470244463152436
GammaHBD,0.13946827112978932
AlphaHBD,NA
PhiHBD,NA
