variable,value
GammaCV,0.033002630036885805
AlphaCV,0.32675794023389765
PhiCV,0.10100023893302203
GammaTBD,0.010240492701202364
AlphaTBD,0.026893723801477386
PhiTBD,0.3807763021883868
GammaHBD,0.13919337491956932
AlphaHBD,0.3427167510425934
PhiHBD,0.4061469843423852
