DATE,tot.bio
2004,4547.0765833333335
2005,5304.885166666667
2006,6017.068625
2007,7002.548958333333
2008,7924.395666666666
2009,7052.539749999997
2010,6506.9302916666675
2011,5525.564666666667
2012,5892.8892216
2013,5027.92097767
2014,6355.69943333
2015,4442.89123064
2016,5214.26755004
2017,4596.8178339
