SITE_ID,DATE,SP_CODE,VALUE
NAPL_4,2004,DL,0
NAPL_4,2004,DP,0
NAPL_4,2004,DU,0
NAPL_4,2004,EA,0
NAPL_4,2004,EC,18.975
NAPL_4,2004,EGME,0
NAPL_4,2004,ER,0
NAPL_4,2004,FB,0
NAPL_4,2004,FG,0
NAPL_4,2004,FR,0
NAPL_4,2004,FTHR,0
NAPL_4,2004,GR,0
NAPL_4,2004,GS,2.8125
NAPL_4,2004,GYSP,0
NAPL_4,2004,HAGL,0
NAPL_4,2004,IR,0
NAPL_4,2004,LAFA,0
NAPL_4,2004,LI,0
NAPL_4,2004,LS,0
NAPL_4,2004,LX,0
NAPL_4,2004,NANDERSON,0
NAPL_4,2004,NEO,0
NAPL_4,2004,PHSE,0
NAPL_4,2004,PL,0
NAPL_4,2004,POLA,0
NAPL_4,2004,PRSP,0
NAPL_4,2004,PTCA,74.02875
NAPL_4,2004,R,1.525
NAPL_4,2004,RAT,0
NAPL_4,2004,SAFU,0
NAPL_4,2004,SAHO,0
NAPL_4,2004,SAMU,0
NAPL_4,2004,SCCA,11.25
NAPL_4,2004,STIN,0
NAPL_4,2004,TALE,0
NAPL_4,2004,UV,0
NAPL_5,2004,AMZO,0
NAPL_5,2004,AU,0
NAPL_5,2004,BF,0
NAPL_5,2004,BO,0
NAPL_5,2004,BR,0
NAPL_5,2004,BRA,0
NAPL_5,2004,CAL,0
NAPL_5,2004,CC,14.7875
NAPL_5,2004,CF,0
NAPL_5,2004,CG,0
NAPL_5,2004,CO,0
NAPL_5,2004,COF,0
NAPL_5,2004,CP,0
NAPL_5,2004,CRYP,0
NAPL_5,2004,CYOS,9.97391666666667
NAPL_5,2004,CZ,0
NAPL_5,2004,DL,0
NAPL_5,2004,DP,0
NAPL_5,2004,DU,0
NAPL_5,2004,EA,0
NAPL_5,2004,EC,1.2375
NAPL_5,2004,EGME,0
NAPL_5,2004,ER,0
NAPL_5,2004,FB,0
NAPL_5,2004,FG,0
NAPL_5,2004,FR,1
NAPL_5,2004,FTHR,0
NAPL_5,2004,GR,0
NAPL_5,2004,GS,2.8125
NAPL_5,2004,GYSP,0
NAPL_5,2004,HAGL,0
NAPL_5,2004,IR,0
NAPL_5,2004,LAFA,0
NAPL_5,2004,LI,0
NAPL_5,2004,LS,0
NAPL_5,2004,LX,0
NAPL_5,2004,NANDERSON,0
NAPL_5,2004,NEO,0
NAPL_5,2004,PHSE,0
NAPL_5,2004,PL,0
NAPL_5,2004,POLA,0
NAPL_5,2004,PRSP,0
NAPL_5,2004,PTCA,95.6135
NAPL_5,2004,R,10.675
NAPL_5,2004,RAT,2.5125
NAPL_5,2004,SAFU,0
NAPL_5,2004,SAHO,0
NAPL_5,2004,SAMU,0
NAPL_5,2004,SCCA,0
NAPL_5,2004,STIN,0
NAPL_5,2004,TALE,0
NAPL_5,2004,UV,0
NAPL_6,2004,AMZO,0
NAPL_6,2004,AU,0
NAPL_6,2004,BF,0
NAPL_6,2004,BO,0
NAPL_6,2004,BR,0
NAPL_6,2004,BRA,0
NAPL_6,2004,CAL,0
NAPL_6,2004,CC,12.675
NAPL_6,2004,CF,0
NAPL_6,2004,CG,0
NAPL_6,2004,CO,0
NAPL_6,2004,COF,0
NAPL_6,2004,CP,0
NAPL_6,2004,CRYP,0
NAPL_6,2004,CYOS,1.73733333333333
NAPL_6,2004,CZ,0
NAPL_6,2004,DL,0
NAPL_6,2004,DP,0
NAPL_6,2004,DU,0
NAPL_6,2004,EA,0
NAPL_6,2004,EC,4.5375
NAPL_6,2004,EGME,0
NAPL_6,2004,ER,0
NAPL_6,2004,FB,0
NAPL_6,2004,FG,0
NAPL_6,2004,FR,1
NAPL_6,2004,FTHR,0
NAPL_6,2004,GR,0
NAPL_6,2004,GS,0
NAPL_6,2004,GYSP,0
NAPL_6,2004,HAGL,0
NAPL_6,2004,IR,0
NAPL_6,2004,LAFA,0
NAPL_6,2004,LI,0
NAPL_6,2004,LS,0
NAPL_6,2004,LX,0
NAPL_6,2004,NANDERSON,0
NAPL_6,2004,NEO,0
NAPL_6,2004,PHSE,0
NAPL_6,2004,PL,0
NAPL_6,2004,POLA,0
NAPL_6,2004,PRSP,0
NAPL_6,2004,PTCA,87.186875
NAPL_6,2004,R,19.825
NAPL_6,2004,RAT,3.35
NAPL_6,2004,SAFU,0
NAPL_6,2004,SAHO,0
NAPL_6,2004,SAMU,0
NAPL_6,2004,SCCA,0
NAPL_6,2004,STIN,0
NAPL_6,2004,TALE,0
NAPL_6,2004,UV,0
NAPL_7,2004,AMZO,0
NAPL_7,2004,AU,0
NAPL_7,2004,BF,9.7
NAPL_7,2004,BO,0
NAPL_7,2004,BR,9.3
NAPL_7,2004,BRA,0
NAPL_7,2004,CAL,0
NAPL_7,2004,CC,2.1125
NAPL_7,2004,CF,0
NAPL_7,2004,CG,0
NAPL_7,2004,CO,0
NAPL_7,2004,COF,0
NAPL_7,2004,CP,0
NAPL_7,2004,CRYP,0
NAPL_7,2004,CYOS,5.80391666666667
NAPL_7,2004,CZ,0
NAPL_7,2004,DL,0
NAPL_7,2004,DP,0
NAPL_7,2004,DU,0
NAPL_7,2004,EA,0
NAPL_7,2004,EC,2.8875
NAPL_7,2004,EGME,0
NAPL_7,2004,ER,0
NAPL_7,2004,FB,0
NAPL_7,2004,FG,0
NAPL_7,2004,FR,0
NAPL_7,2004,FTHR,0
NAPL_7,2004,GR,0
NAPL_7,2004,GS,0
NAPL_7,2004,GYSP,0
NAPL_7,2004,HAGL,0
NAPL_7,2004,IR,0
NAPL_7,2004,LAFA,0
NAPL_7,2004,LI,0
NAPL_7,2004,LS,0
NAPL_7,2004,LX,0
NAPL_7,2004,NANDERSON,0
NAPL_7,2004,NEO,0
NAPL_7,2004,PHSE,0
NAPL_7,2004,PL,0
NAPL_7,2004,POLA,0
NAPL_7,2004,PRSP,0
NAPL_7,2004,PTCA,35.23175
NAPL_7,2004,R,12.2
NAPL_7,2004,RAT,11.725
NAPL_7,2004,SAFU,0
NAPL_7,2004,SAHO,0
NAPL_7,2004,SAMU,0
NAPL_7,2004,SCCA,0
NAPL_7,2004,STIN,0
NAPL_7,2004,TALE,0
NAPL_7,2004,UV,0
NAPL_8,2004,AMZO,0
NAPL_8,2004,AU,0
NAPL_8,2004,BF,0
NAPL_8,2004,BO,0
NAPL_8,2004,BR,4.65
NAPL_8,2004,BRA,0
NAPL_8,2004,CAL,0
NAPL_8,2004,CC,33.8
NAPL_8,2004,CF,0
NAPL_8,2004,CG,0
NAPL_8,2004,CO,0
NAPL_8,2004,COF,0
NAPL_8,2004,CP,0
NAPL_8,2004,CRYP,0
NAPL_8,2004,CYOS,0.4235
NAPL_8,2004,CZ,0
NAPL_8,2004,DL,0
NAPL_8,2004,DP,0
NAPL_8,2004,DU,0
NAPL_8,2004,EA,0
NAPL_8,2004,EC,2.475
NAPL_8,2004,EGME,0
NAPL_8,2004,ER,0
NAPL_8,2004,FB,0
NAPL_8,2004,FG,0
NAPL_8,2004,FR,0
NAPL_8,2004,FTHR,0
NAPL_8,2004,GR,2.8125
NAPL_8,2004,GS,0
NAPL_8,2004,GYSP,0
NAPL_8,2004,HAGL,0
NAPL_8,2004,IR,0
NAPL_8,2004,LAFA,1.12816666666667
NAPL_8,2004,LI,0
NAPL_8,2004,LS,0
NAPL_8,2004,LX,0
NAPL_8,2004,NANDERSON,0
NAPL_8,2004,NEO,0
NAPL_8,2004,PHSE,0
NAPL_8,2004,PL,0
NAPL_8,2004,POLA,0
NAPL_8,2004,PRSP,0
NAPL_8,2004,PTCA,129.865375
NAPL_8,2004,R,9.15
NAPL_8,2004,RAT,10.05
NAPL_8,2004,SAFU,0
NAPL_8,2004,SAHO,0
NAPL_8,2004,SAMU,0
NAPL_8,2004,SCCA,0
NAPL_8,2004,STIN,0
NAPL_8,2004,TALE,0
NAPL_8,2004,UV,0
GOLB_1,2004,AMZO,0
GOLB_1,2004,AU,0
GOLB_1,2004,BF,4.85
GOLB_1,2004,BO,0
GOLB_1,2004,BR,4.65
GOLB_1,2004,BRA,0
GOLB_1,2004,CAL,0
GOLB_1,2004,CC,6.3375
GOLB_1,2004,CF,0.875
GOLB_1,2004,CG,0
GOLB_1,2004,CO,0
GOLB_1,2004,COF,0
GOLB_1,2004,CP,0
GOLB_1,2004,CRYP,0
GOLB_1,2004,CYOS,3.388
GOLB_1,2004,CZ,0
GOLB_1,2004,DL,225.1125
GOLB_1,2004,DP,0
GOLB_1,2004,DU,0
GOLB_1,2004,EA,0
GOLB_1,2004,EC,0
GOLB_1,2004,EGME,9.5955
GOLB_1,2004,ER,0
GOLB_1,2004,FB,0
GOLB_1,2004,FG,0
GOLB_1,2004,FR,0
GOLB_1,2004,FTHR,0
GOLB_1,2004,GR,0
GOLB_1,2004,GS,2.8125
GOLB_1,2004,GYSP,0
GOLB_1,2004,HAGL,0
GOLB_1,2004,IR,0
GOLB_1,2004,LAFA,0
GOLB_1,2004,LI,0
GOLB_1,2004,LS,0
GOLB_1,2004,LX,0
GOLB_1,2004,NANDERSON,0
GOLB_1,2004,NEO,0
GOLB_1,2004,PHSE,0
GOLB_1,2004,PL,0
GOLB_1,2004,POLA,0
GOLB_1,2004,PRSP,0
GOLB_1,2004,PTCA,0
GOLB_1,2004,R,0
GOLB_1,2004,RAT,0
GOLB_1,2004,SAFU,0
GOLB_1,2004,SAHO,0
GOLB_1,2004,SAMU,0
GOLB_1,2004,SCCA,0
GOLB_1,2004,STIN,0
GOLB_1,2004,TALE,0
GOLB_1,2004,UV,0
GOLB_2,2004,AMZO,0
GOLB_2,2004,AU,1.75
GOLB_2,2004,BF,0
GOLB_2,2004,BO,0
GOLB_2,2004,BR,1.55
GOLB_2,2004,BRA,0
GOLB_2,2004,CAL,0
GOLB_2,2004,CC,10.5625
GOLB_2,2004,CF,0.875
GOLB_2,2004,CG,0
GOLB_2,2004,CO,2.6625
GOLB_2,2004,COF,0
GOLB_2,2004,CP,0
GOLB_2,2004,CRYP,0
GOLB_2,2004,CYOS,0.065
GOLB_2,2004,CZ,0
GOLB_2,2004,DL,13.05
GOLB_2,2004,DP,0
GOLB_2,2004,DU,0
GOLB_2,2004,EA,0
GOLB_2,2004,EC,0.825
GOLB_2,2004,EGME,1.59925
GOLB_2,2004,ER,0
GOLB_2,2004,FB,0
GOLB_2,2004,FG,0
GOLB_2,2004,FR,0
GOLB_2,2004,FTHR,0
GOLB_2,2004,GR,2.8125
GOLB_2,2004,GS,2.8125
GOLB_2,2004,GYSP,0
GOLB_2,2004,HAGL,0
GOLB_2,2004,IR,0
GOLB_2,2004,LAFA,0
GOLB_2,2004,LI,0
GOLB_2,2004,LS,0
GOLB_2,2004,LX,0
GOLB_2,2004,NANDERSON,0
GOLB_2,2004,NEO,0
GOLB_2,2004,PHSE,0
GOLB_2,2004,PL,0
GOLB_2,2004,POLA,0
GOLB_2,2004,PRSP,0
GOLB_2,2004,PTCA,0
GOLB_2,2004,R,0
GOLB_2,2004,RAT,0
GOLB_2,2004,SAFU,0
GOLB_2,2004,SAHO,0
GOLB_2,2004,SAMU,0
GOLB_2,2004,SCCA,0
GOLB_2,2004,STIN,0
GOLB_2,2004,TALE,0
GOLB_2,2004,UV,1.35
IVEE_1,2004,AMZO,0
IVEE_1,2004,AU,0
IVEE_1,2004,BF,0
IVEE_1,2004,BO,0
IVEE_1,2004,BR,4.65
IVEE_1,2004,BRA,0
IVEE_1,2004,CAL,0
IVEE_1,2004,CC,0
IVEE_1,2004,CF,0
IVEE_1,2004,CG,0
IVEE_1,2004,CO,0
IVEE_1,2004,COF,0
IVEE_1,2004,CP,0
IVEE_1,2004,CRYP,0
IVEE_1,2004,CYOS,0.847
IVEE_1,2004,CZ,0
IVEE_1,2004,DL,19.575
IVEE_1,2004,DP,0
IVEE_1,2004,DU,0
IVEE_1,2004,EA,0
IVEE_1,2004,EC,1.65
IVEE_1,2004,EGME,0
IVEE_1,2004,ER,0
IVEE_1,2004,FB,0
IVEE_1,2004,FG,0
IVEE_1,2004,FR,0
IVEE_1,2004,FTHR,0
IVEE_1,2004,GR,0
IVEE_1,2004,GS,11.25
IVEE_1,2004,GYSP,0
IVEE_1,2004,HAGL,0
IVEE_1,2004,IR,0
IVEE_1,2004,LAFA,0
IVEE_1,2004,LI,0
IVEE_1,2004,LS,0
IVEE_1,2004,LX,0
IVEE_1,2004,NANDERSON,0
IVEE_1,2004,NEO,0
IVEE_1,2004,PHSE,0
IVEE_1,2004,PL,0
IVEE_1,2004,POLA,0
IVEE_1,2004,PRSP,0
IVEE_1,2004,PTCA,50.009625
IVEE_1,2004,R,0
IVEE_1,2004,RAT,0
IVEE_1,2004,SAFU,0
IVEE_1,2004,SAHO,0
IVEE_1,2004,SAMU,0
IVEE_1,2004,SCCA,0
IVEE_1,2004,STIN,0
IVEE_1,2004,TALE,0
IVEE_1,2004,UV,0
IVEE_2,2004,AMZO,0
IVEE_2,2004,AU,0
IVEE_2,2004,BF,0
IVEE_2,2004,BO,0
IVEE_2,2004,BR,3.1
IVEE_2,2004,BRA,0
IVEE_2,2004,CAL,0
IVEE_2,2004,CC,4.225
IVEE_2,2004,CF,0
IVEE_2,2004,CG,0
IVEE_2,2004,CO,0
IVEE_2,2004,COF,0
IVEE_2,2004,CP,0
IVEE_2,2004,CRYP,0
IVEE_2,2004,CYOS,0.21175
IVEE_2,2004,CZ,0
IVEE_2,2004,DL,0
IVEE_2,2004,DP,0
IVEE_2,2004,DU,0
IVEE_2,2004,EA,0
