"site","temp_type","source","CV_mean","CV_min","CV_max","CV_overall","SD_mean","SD_min","SD_max","SD_overall"
"FCE","mean_annual_air_temp","PRISM","1.78966048854146","7.36482390581798","1.07211253483779","16.0477085069051","0.432309535392795","1.34039795085887","0.31091263510296","3.87647682516204"
"JRN","mean_annual_air_temp","PRISM","3.94273804896891","20.7143110936717","3.36335316119738","49.1208137277643","0.625991805649835","0.961920821412379","0.902219485491197","7.79895252956858"
"MCR","mean_annual_sea_surface_temp",,"0.931982422629002","1.6526750009478","0.942330995784541","5.8238259069081","0.248943634052804","0.406259581581454","0.272556632094217","1.55561344308067"
"NTL","mean_annual_air_temp","PRISM","23.5581935701788","-20.7986588984243","6.94568956709964","245.788747153825","1.04812148245101","2.65933963637353","1.31929514610631","10.9353234266123"
"NWT","mean_annual_air_temp","PRISM","20.2914921619829","-10.5398799627435","8.5131172850167","253.598683340715","0.58240484714922","0.748331477354788","1.1905267095508","7.27876990165418"
"SBC","mean_annual_sea_surface_temp",,"2.3237512947537","27.2836686443635","2.43559177990511","54.5267408964901","0.353128016940888","0.911475104106964","0.665046655324458","8.28613626875593"
"CSUN-USVI","mean_annual_sea_surface_temp",,"0.801466440923324","1.62331895790905","1.36314855498676","5.21934091778421","0.219246610561569","0.406755583465855","0.403840497663438","1.42778630165873"
"MCM","mean_summer_air_temp","MCM_LTER",-0.181363494859755,"NA","NA","NA",0.770075756892758,"NA","NA","NA"
