SITE_ID,DATE,tot.bio
ABUR,2004,95.361625
ABUR,2005,329.44658333333336
ABUR,2006,182.6475
ABUR,2007,344.9204375
ABUR,2008,297.9519583333335
ABUR,2009,209.975875
ABUR,2010,221.53810416666664
ABUR,2011,459.2586041666668
ABUR,2012,258.84277083333353
ABUR,2013,184.4078
ABUR,2014,202.235375
ABUR,2015,224.9294375
ABUR,2016,309.90325
ABUR,2017,118.02189665
AQUE,2004,83.38814583333334
AQUE,2005,44.35454166666667
AQUE,2006,77.67254166666666
AQUE,2007,49.57765277777778
AQUE,2008,146.16592361111105
AQUE,2009,96.90399999999994
AQUE,2010,121.34305555555557
AQUE,2011,134.15022222222228
AQUE,2012,207.75144817166668
AQUE,2013,53.27397983333333
AQUE,2014,143.00249472166666
AQUE,2015,115.61124999500001
AQUE,2016,101.29510523333333
AQUE,2017,45.32088833333333
BULL,2004,371.9475138888889
BULL,2005,302.8570833333333
BULL,2006,281.3399722222222
BULL,2007,355.4042083333334
BULL,2008,376.0546249999999
BULL,2009,362.72597222222186
BULL,2010,394.2293472222221
BULL,2011,308.67156940694423
BULL,2012,340.84489
BULL,2013,317.47372
BULL,2014,269.4371556666667
BULL,2015,222.69665266666667
BULL,2016,72.81991676666667
BULL,2017,95.30202766666666
CARP,2004,105.26303645833333
CARP,2005,125.86180208333333
CARP,2006,58.602046875
CARP,2007,112.69481770833333
CARP,2008,185.501640625
CARP,2009,161.42892708333335
CARP,2010,103.76770833333333
CARP,2011,72.71884895833334
CARP,2012,90.44416666666666
CARP,2013,83.2914579125
CARP,2014,76.435234375
CARP,2015,88.8276
CARP,2016,169.67322913
CARP,2017,90.2709375375
GOLB,2004,148.767625
GOLB,2005,168.591625
GOLB,2006,139.57472916666666
GOLB,2007,81.2114375
GOLB,2008,164.98645833333333
GOLB,2009,62.24183333333334
GOLB,2010,160.6280625
GOLB,2011,119.83062500000001
GOLB,2012,63.785000000000004
GOLB,2013,70.78
GOLB,2014,225.101145
GOLB,2015,110.484729
GOLB,2016,181.129815
GOLB,2017,200.5627065
IVEE,2004,78.74193749999999
IVEE,2005,51.2235
IVEE,2006,96.49577083333334
IVEE,2007,103.42487499999999
IVEE,2008,212.56614583333348
IVEE,2009,177.24635416666683
IVEE,2010,69.74875
IVEE,2011,39.82229166666665
IVEE,2012,125.924375
IVEE,2013,17.04677335
IVEE,2014,98.757685
IVEE,2015,178.76071
IVEE,2016,291.8727325
IVEE,2017,166.97155999999998
MOHK,2004,140.1079375
MOHK,2005,178.74639583333334
MOHK,2006,343.53756250000004
MOHK,2007,262.87233333333336
MOHK,2008,268.6762291666668
MOHK,2009,151.12077083333332
MOHK,2010,175.45822916666665
MOHK,2011,46.927270833333345
MOHK,2012,7.6516874999999995
MOHK,2013,72.4879165
MOHK,2014,220.651604
MOHK,2015,41.5451875
MOHK,2016,120.3121475
MOHK,2017,42.0775025
NAPL,2004,103.76068229166667
NAPL,2005,147.36848958333331
NAPL,2006,298.150015625
NAPL,2007,335.9030104166667
NAPL,2008,251.67601041666657
NAPL,2009,254.81560416666656
NAPL,2010,206.98242187500009
NAPL,2011,166.1302916807292
NAPL,2012,196.77295582125
NAPL,2013,220.334864
NAPL,2014,216.755759375
NAPL,2015,118.9958860425
NAPL,2016,122.6768681625
NAPL,2017,251.401822875
SCDI,2004,127.14702083333336
SCDI,2005,223.075625
SCDI,2006,130.99854166666665
SCDI,2007,172.0560416666665
SCDI,2008,206.90937499999998
SCDI,2009,379.251145833333
SCDI,2010,369.96520833333346
SCDI,2011,261.096375
SCDI,2012,247.87644
SCDI,2013,241.0914
SCDI,2014,361.9239
SCDI,2015,136.732045
SCDI,2016,132.512165
SCDI,2017,83.447545
SCTW,2004,39.2315625
SCTW,2005,21.0884375
SCTW,2006,33.244375
SCTW,2007,63.72014583333335
SCTW,2008,70.12068749999999
SCTW,2009,65.51454166666664
SCTW,2010,108.94591666666665
SCTW,2011,64.27383333333334
SCTW,2012,66.9487515
SCTW,2013,79.637958335
SCTW,2014,64.077815
SCTW,2015,47.5641665
SCTW,2016,103.469335
SCTW,2017,48.88970815
