SITE_ID,DATE,SP_CODE,VALUE
GOLB,2004,BRA,0
GOLB,2004,CAL,0
GOLB,2004,CC,8.45
GOLB,2004,CF,0.875
GOLB,2004,CG,0
GOLB,2004,CO,1.33125
GOLB,2004,COF,0
GOLB,2004,CP,0
GOLB,2004,CRYP,0
GOLB,2004,CYOS,1.7265
GOLB,2004,CZ,0
GOLB,2004,DL,119.08125000000001
GOLB,2004,DP,0
GOLB,2004,DU,0
GOLB,2004,EA,0
GOLB,2004,EC,0.4125
GOLB,2004,EGME,5.5973749999999995
GOLB,2004,ER,0
GOLB,2004,FASP,0
GOLB,2004,FB,0
GOLB,2004,FG,0
GOLB,2004,FR,0
GOLB,2004,FTHR,0
GOLB,2004,GR,1.40625
GOLB,2004,GS,2.8125
GOLB,2004,GYSP,0
GOLB,2004,HAGL,0
GOLB,2004,IR,0
GOLB,2004,LAFA,0
GOLB,2004,LI,0
GOLB,2004,LS,0
GOLB,2004,LX,0
GOLB,2004,NANDERSON,0
GOLB,2004,NEO,0
GOLB,2004,PHSE,0
GOLB,2004,PL,0
GOLB,2004,POLA,0
GOLB,2004,PRSP,0
GOLB,2004,PTCA,0
GOLB,2004,R,0
GOLB,2004,RAT,0
GOLB,2004,SAFU,0
GOLB,2004,SAHO,0
GOLB,2004,SAMU,0
GOLB,2004,SCCA,0
GOLB,2004,STIN,0
GOLB,2004,TALE,0
GOLB,2004,UV,0.675
IVEE,2004,AMZO,0
IVEE,2004,AU,0
IVEE,2004,BF,0
IVEE,2004,BO,0
IVEE,2004,BR,3.875
IVEE,2004,BRA,0
IVEE,2004,CAL,0
IVEE,2004,CC,2.1125
IVEE,2004,CF,0
IVEE,2004,CG,0
IVEE,2004,CO,0
IVEE,2004,COF,0
IVEE,2004,CP,0
IVEE,2004,CRYP,0
IVEE,2004,CYOS,0.5293749999999999
IVEE,2004,CZ,0
IVEE,2004,DL,9.7875
IVEE,2004,DP,0
IVEE,2004,DU,0
IVEE,2004,EA,0
IVEE,2004,EC,1.65
IVEE,2004,EGME,0
IVEE,2004,ER,0
IVEE,2004,FASP,0
IVEE,2004,FB,0
IVEE,2004,FG,0
IVEE,2004,FR,0
IVEE,2004,FTHR,0
IVEE,2004,GR,0
IVEE,2004,GS,7.03125
IVEE,2004,GYSP,0
IVEE,2004,HAGL,0
IVEE,2004,IR,0
IVEE,2004,LAFA,0
IVEE,2004,LI,0
IVEE,2004,LS,0
IVEE,2004,LX,0
IVEE,2004,NANDERSON,0
IVEE,2004,NEO,0
IVEE,2004,PHSE,0
IVEE,2004,PL,0
IVEE,2004,POLA,0
IVEE,2004,PRSP,0
IVEE,2004,PTCA,33.0938125
IVEE,2004,R,19.825
IVEE,2004,RAT,0.8375
IVEE,2004,SAFU,0
IVEE,2004,SAHO,0
IVEE,2004,SAMU,0
IVEE,2004,SCCA,0
IVEE,2004,STIN,0
IVEE,2004,TALE,0
IVEE,2004,UV,0
MOHK,2004,AMZO,0
MOHK,2004,AU,0
MOHK,2004,BF,0
MOHK,2004,BO,1.2625
MOHK,2004,BR,3.1
MOHK,2004,BRA,0
MOHK,2004,CAL,0
MOHK,2004,CC,10.5625
MOHK,2004,CF,0.4375
MOHK,2004,CG,0
MOHK,2004,CO,17.30625
MOHK,2004,COF,0
MOHK,2004,CP,0
MOHK,2004,CRYP,0
MOHK,2004,CYOS,22.828125
MOHK,2004,CZ,0
MOHK,2004,DL,0
MOHK,2004,DP,0
MOHK,2004,DU,0
MOHK,2004,EA,0
MOHK,2004,EC,0.6187499999999999
