"site.ID","env.var","env.value"
1,"area.m2",1
2,"area.m2",1
3,"area.m2",1
4,"area.m2",1
5,"area.m2",1
1,"env.var",-1
2,"env.var",-0.25
3,"env.var",0.1
4,"env.var",1
5,"env.var",2
