"site","subsite","lat","lon","radius","chla_temporal_sd","lst_temporal_sd","ndvi_temporal_sd","sst_temporal_sd","bathymetry_spatial_sd_slope_60km","elevation_spatial_sd_slope_60km"
"AND","mt_st_helens_centroid",46.23221,-122.16,1,NA,1.3783449581602,5.37479987020365,NA,4.6643649222525,4.85261035687273
"AND",NA,44.2325173033773,-122.172477138531,1,NA,0.88955469938804,1.56075473519839,NA,6.2356219735627,5.72894895325747
"ARC",NA,68.602335241583,-149.43391398011,1,NA,1.31564755020582,2.66484476215864,NA,7.44247979914897,NA
"BES",NA,39.3563595578112,-76.7394367722557,1,NA,1.03043201929343,1.59693885069739,NA,1.29208725061218,1.21655843242182
"BNZ",NA,64.7398367091816,-148.254908279044,1,NA,1.43367665868705,3.69603214565408,NA,1.88105045545988,NA
"BNZ",NA,65.181535204016,-147.504118342356,1,NA,1.43367665868705,3.69603214565408,NA,1.88105045545988,NA
"CAP",NA,33.5675568280477,-112.159944917003,1,NA,0.706901880705609,1.79850577506937,NA,3.89209913257102,3.9349433911795
"CCE",NA,32.6834588325572,-121.438986955257,1,0.124596681597884,NA,NA,0.867670053613418,1.20997764891209,NA
"CDR",NA,45.4111988268454,-93.1945856811415,1,NA,1.85717316158797,1.09889545273598,NA,0.369268893726718,0.337724953013305
"CSUN-USVI","cabritte_horn",18.30713526,-64.72164419,1,0.0426778452491258,NA,7.68319734460072,0.284099501836798,24.7605857711131,-0.23966744274513
"CSUN-USVI","east_tektite",18.31095579,-64.72181924,1,0.0426778452491258,0.36595508806408,5.03836248378573,0.284099501836798,24.7173272520277,-0.284825240732441
"CSUN-USVI","europa",18.31673677,-64.72998517,1,0.0426778452491258,0.328186222770245,3.78719454641777,0.284099501836798,24.7847185109183,-0.422044521729186
"CSUN-USVI","neptunes_table",18.3125466,-64.72301093,1,0.0426778452491258,0.350937267105556,4.91020547231414,0.284099501836798,24.7384253682505,-0.306245925229199
"CSUN-USVI","tektite",18.30996508,-64.72321746,1,0.0426778452491258,0.355064362068978,5.80482685615532,0.284099501836798,24.7669735817123,-0.26720647160988
"CSUN-USVI","usvi_centroid",18.31316,-64.72562,1,0.0426778452491258,0.333794574203675,5.05112658156692,0.284099501836798,24.8103754709091,-0.2838016960793
"CSUN-USVI","west_little_lamshur_bay",18.31725847,-64.72779501,1,0.0426778452491258,0.326227125510253,3.63064142536741,0.284099501836798,24.6296849570999,-0.408746375711844
"CSUN-USVI","white_point",18.31445176,-64.73130735,1,0.0426778452491258,0.331327821280038,4.77061810266197,0.284099501836798,25.0239893271578,-0.331685347486926
"CSUN-USVI","yawzi",18.31506678,-64.72551007,1,0.0426778452491258,0.333421478974899,4.26020877684977,0.284099501836798,24.7922576618644,-0.345361779860794
"CWT",NA,35.0525771367264,-83.4509304004655,1,NA,0.649882977612865,1.16739204613218,NA,2.63905368291817,2.81611377936933
"FCE",NA,25.3946380405002,-80.8062830735961,1,NA,0.713554301448456,2.17457458731041,NA,0.0531024584092818,0.034433793762875
"FCRK","382625104353701",38.44027778,-104.5936111,1,NA,1.48886845141905,7.96590762299202,NA,6.12978960344062,6.17074083633305
"FCRK","383347104373401",38.56305412,-104.6266386,1,NA,1.46376313238727,4.96678622939498,NA,7.97072071105832,8.01613653260562
"FCRK","384909104504401",38.81916667,-104.8455556,1,NA,1.05405920461505,5.16565432174204,NA,5.09560359764575,5.06845288928095
"FCRK","385124104501301",38.85666667,-104.8369444,1,NA,1.10238238532025,3.91828903673739,NA,5.8362515893249,5.83202445136687
"FCRK","385204104510101",38.86777778,-104.8511111,1,NA,1.06405667520617,4.70615808079434,NA,5.430587754347,5.34923318394427
"FCRK","385501104483701",38.91694444,-104.8102778,1,NA,1.01319696912344,3.80306359169012,NA,6.40108299668509,6.35843883167802
"FCRK","385750104475001",38.96388889,-104.7972222,1,NA,1.1027397295063,3.1027732127355,NA,6.67838313737311,6.74605461484908
"FCRK","385854104470100",38.98277778,-104.7841667,1,NA,1.14381175749007,3.43156080418323,NA,6.83141178741121,6.86908605807041
"FCRK","7099970",38.25361396,-104.6060854,1,NA,0.859633487764035,2.68900729214591,NA,6.03377630411479,6.00693500150927
"FCRK","7100300",38.89708333,-104.9717778,1,NA,0.839297477543091,2.4658218631948,NA,3.09646978063077,3.18697534194764
