"OBSERVATION_TYPE","SITE_ID","DATE","VARIABLE_UNITS","VARIABLE_NAME","VALUE"
"TAXON_COUNT","Ave67",2014,"count","Aspidoscelis tigris",1
"TAXON_COUNT","Ave67",2015,"count","Aspidoscelis tigris",0
"TAXON_COUNT","Ave67",2016,"count","Aspidoscelis tigris",0
"TAXON_COUNT","Ave67",2017,"count","Aspidoscelis tigris",0
"TAXON_COUNT","BM",2013,"count","Aspidoscelis tigris",1
"TAXON_COUNT","BM",2014,"count","Aspidoscelis tigris",6
"TAXON_COUNT","BM",2015,"count","Aspidoscelis tigris",7
"TAXON_COUNT","BM",2016,"count","Aspidoscelis tigris",7
"TAXON_COUNT","BM",2017,"count","Aspidoscelis tigris",2
"TAXON_COUNT","Price",2013,"count","Aspidoscelis tigris",2
"TAXON_COUNT","Price",2014,"count","Aspidoscelis tigris",1
"TAXON_COUNT","Price",2015,"count","Aspidoscelis tigris",1
"TAXON_COUNT","Price",2016,"count","Aspidoscelis tigris",2
"TAXON_COUNT","Price",2017,"count","Aspidoscelis tigris",0
"TAXON_COUNT","Priest",2013,"count","Aspidoscelis tigris",2
"TAXON_COUNT","Priest",2014,"count","Aspidoscelis tigris",0
"TAXON_COUNT","Priest",2015,"count","Aspidoscelis tigris",2
"TAXON_COUNT","Priest",2016,"count","Aspidoscelis tigris",0
"TAXON_COUNT","Priest",2017,"count","Aspidoscelis tigris",0
"TAXON_COUNT","Rio",2013,"count","Aspidoscelis tigris",3
"TAXON_COUNT","Rio",2014,"count","Aspidoscelis tigris",6
"TAXON_COUNT","Rio",2015,"count","Aspidoscelis tigris",5
"TAXON_COUNT","Rio",2016,"count","Aspidoscelis tigris",2
"TAXON_COUNT","Rio",2017,"count","Aspidoscelis tigris",1
"TAXON_COUNT","Tonto",2013,"count","Aspidoscelis tigris",4
"TAXON_COUNT","Tonto",2014,"count","Aspidoscelis tigris",4
"TAXON_COUNT","Tonto",2015,"count","Aspidoscelis tigris",3
"TAXON_COUNT","Tonto",2016,"count","Aspidoscelis tigris",2
"TAXON_COUNT","Tonto",2017,"count","Aspidoscelis tigris",1
"TAXON_COUNT","Ave35",2013,"count","Callisaurus draconoides",5
"TAXON_COUNT","Ave35",2014,"count","Callisaurus draconoides",6
"TAXON_COUNT","Ave35",2015,"count","Callisaurus draconoides",3
"TAXON_COUNT","Ave35",2016,"count","Callisaurus draconoides",4
"TAXON_COUNT","Ave35",2017,"count","Callisaurus draconoides",1
"TAXON_COUNT","Ave67",2013,"count","Callisaurus draconoides",0
"TAXON_COUNT","Ave67",2014,"count","Callisaurus draconoides",2
"TAXON_COUNT","Ave67",2015,"count","Callisaurus draconoides",0
"TAXON_COUNT","Ave67",2016,"count","Callisaurus draconoides",4
"TAXON_COUNT","Ave67",2017,"count","Callisaurus draconoides",2
"TAXON_COUNT","BM",2013,"count","Callisaurus draconoides",2
"TAXON_COUNT","BM",2014,"count","Callisaurus draconoides",1
"TAXON_COUNT","BM",2015,"count","Callisaurus draconoides",2
"TAXON_COUNT","BM",2016,"count","Callisaurus draconoides",2
"TAXON_COUNT","BM",2017,"count","Callisaurus draconoides",1
"TAXON_COUNT","Price",2013,"count","Callisaurus draconoides",0
"TAXON_COUNT","Price",2014,"count","Callisaurus draconoides",0
"TAXON_COUNT","Price",2015,"count","Callisaurus draconoides",0
"TAXON_COUNT","Price",2016,"count","Callisaurus draconoides",0
"TAXON_COUNT","Price",2017,"count","Callisaurus draconoides",0
"TAXON_COUNT","Priest",2013,"count","Callisaurus draconoides",0
"TAXON_COUNT","Priest",2014,"count","Callisaurus draconoides",0
"TAXON_COUNT","Priest",2015,"count","Callisaurus draconoides",0
"TAXON_COUNT","Priest",2016,"count","Callisaurus draconoides",0
"TAXON_COUNT","Priest",2017,"count","Callisaurus draconoides",0
"TAXON_COUNT","Rio",2013,"count","Callisaurus draconoides",0
"TAXON_COUNT","Rio",2014,"count","Callisaurus draconoides",0
"TAXON_COUNT","Rio",2015,"count","Callisaurus draconoides",0
"TAXON_COUNT","Rio",2016,"count","Callisaurus draconoides",0
"TAXON_COUNT","Rio",2017,"count","Callisaurus draconoides",0
"TAXON_COUNT","Tonto",2013,"count","Callisaurus draconoides",3
"TAXON_COUNT","Tonto",2014,"count","Callisaurus draconoides",2
"TAXON_COUNT","Tonto",2015,"count","Callisaurus draconoides",4
"TAXON_COUNT","Tonto",2016,"count","Callisaurus draconoides",3
"TAXON_COUNT","Tonto",2017,"count","Callisaurus draconoides",1
"TAXON_COUNT","Ave35",2013,"count","Coleonyx variegatus",0
"TAXON_COUNT","Ave35",2014,"count","Coleonyx variegatus",0
"TAXON_COUNT","Ave35",2015,"count","Coleonyx variegatus",0
"TAXON_COUNT","Ave35",2016,"count","Coleonyx variegatus",0
"TAXON_COUNT","Ave35",2017,"count","Coleonyx variegatus",0
"TAXON_COUNT","Ave67",2013,"count","Coleonyx variegatus",0
"TAXON_COUNT","Ave67",2014,"count","Coleonyx variegatus",0
"TAXON_COUNT","Ave67",2015,"count","Coleonyx variegatus",0
"TAXON_COUNT","Ave67",2016,"count","Coleonyx variegatus",0
"TAXON_COUNT","Ave67",2017,"count","Coleonyx variegatus",0
"TAXON_COUNT","BM",2013,"count","Coleonyx variegatus",0
"TAXON_COUNT","BM",2014,"count","Coleonyx variegatus",0
"TAXON_COUNT","BM",2015,"count","Coleonyx variegatus",0
"TAXON_COUNT","BM",2016,"count","Coleonyx variegatus",0
"TAXON_COUNT","BM",2017,"count","Coleonyx variegatus",0
"TAXON_COUNT","Price",2013,"count","Coleonyx variegatus",0
"TAXON_COUNT","Price",2014,"count","Coleonyx variegatus",1
"TAXON_COUNT","Price",2015,"count","Coleonyx variegatus",0
"TAXON_COUNT","Price",2016,"count","Coleonyx variegatus",1
"TAXON_COUNT","Price",2017,"count","Coleonyx variegatus",0
"TAXON_COUNT","Priest",2013,"count","Coleonyx variegatus",0
"TAXON_COUNT","Priest",2014,"count","Coleonyx variegatus",0
"TAXON_COUNT","Priest",2015,"count","Coleonyx variegatus",0
"TAXON_COUNT","Priest",2016,"count","Coleonyx variegatus",0
"TAXON_COUNT","Priest",2017,"count","Coleonyx variegatus",0
"TAXON_COUNT","Rio",2013,"count","Coleonyx variegatus",0
"TAXON_COUNT","Rio",2014,"count","Coleonyx variegatus",0
"TAXON_COUNT","Rio",2015,"count","Coleonyx variegatus",0
"TAXON_COUNT","Rio",2016,"count","Coleonyx variegatus",0
"TAXON_COUNT","Rio",2017,"count","Coleonyx variegatus",0
"TAXON_COUNT","Tonto",2013,"count","Coleonyx variegatus",1
"TAXON_COUNT","Tonto",2014,"count","Coleonyx variegatus",0
"TAXON_COUNT","Tonto",2015,"count","Coleonyx variegatus",0
"TAXON_COUNT","Tonto",2016,"count","Coleonyx variegatus",0
"TAXON_COUNT","Tonto",2017,"count","Coleonyx variegatus",0
"TAXON_COUNT","Ave35",2013,"count","Crotalus atrox",0
"TAXON_COUNT","Ave35",2014,"count","Crotalus atrox",0
"TAXON_COUNT","Ave35",2015,"count","Crotalus atrox",0
"TAXON_COUNT","Ave35",2016,"count","Crotalus atrox",0
"TAXON_COUNT","Ave35",2017,"count","Crotalus atrox",0
"TAXON_COUNT","Ave67",2013,"count","Crotalus atrox",0
"TAXON_COUNT","Ave67",2014,"count","Crotalus atrox",1
"TAXON_COUNT","Ave67",2015,"count","Crotalus atrox",0
"TAXON_COUNT","Ave67",2016,"count","Crotalus atrox",0
"TAXON_COUNT","Ave67",2017,"count","Crotalus atrox",0
"TAXON_COUNT","BM",2013,"count","Crotalus atrox",0
"TAXON_COUNT","BM",2014,"count","Crotalus atrox",0
"TAXON_COUNT","BM",2015,"count","Crotalus atrox",0
"TAXON_COUNT","BM",2016,"count","Crotalus atrox",0
"TAXON_COUNT","BM",2017,"count","Crotalus atrox",0
"TAXON_COUNT","Price",2013,"count","Crotalus atrox",0
"TAXON_COUNT","Price",2014,"count","Crotalus atrox",0
"TAXON_COUNT","Price",2015,"count","Crotalus atrox",0
"TAXON_COUNT","Price",2016,"count","Crotalus atrox",0
"TAXON_COUNT","Price",2017,"count","Crotalus atrox",0
"TAXON_COUNT","Priest",2013,"count","Crotalus atrox",0
"TAXON_COUNT","Priest",2014,"count","Crotalus atrox",0
"TAXON_COUNT","Priest",2015,"count","Crotalus atrox",0
"TAXON_COUNT","Priest",2016,"count","Crotalus atrox",0
"TAXON_COUNT","Priest",2017,"count","Crotalus atrox",0
"TAXON_COUNT","Rio",2013,"count","Crotalus atrox",0
"TAXON_COUNT","Rio",2014,"count","Crotalus atrox",0
"TAXON_COUNT","Rio",2015,"count","Crotalus atrox",0
"TAXON_COUNT","Rio",2016,"count","Crotalus atrox",0
"TAXON_COUNT","Rio",2017,"count","Crotalus atrox",0
"TAXON_COUNT","Tonto",2013,"count","Crotalus atrox",0
"TAXON_COUNT","Tonto",2014,"count","Crotalus atrox",1
"TAXON_COUNT","Tonto",2015,"count","Crotalus atrox",0
"TAXON_COUNT","Tonto",2016,"count","Crotalus atrox",0
"TAXON_COUNT","Tonto",2017,"count","Crotalus atrox",0
"TAXON_COUNT","Ave35",2013,"count","Dipsosaurus dorsalis",0
"TAXON_COUNT","Ave35",2014,"count","Dipsosaurus dorsalis",3
"TAXON_COUNT","Ave35",2015,"count","Dipsosaurus dorsalis",0
"TAXON_COUNT","Ave35",2016,"count","Dipsosaurus dorsalis",0
"TAXON_COUNT","Ave35",2017,"count","Dipsosaurus dorsalis",0
"TAXON_COUNT","Ave67",2013,"count","Dipsosaurus dorsalis",0
"TAXON_COUNT","Ave67",2014,"count","Dipsosaurus dorsalis",0
"TAXON_COUNT","Ave67",2015,"count","Dipsosaurus dorsalis",0
"TAXON_COUNT","Ave67",2016,"count","Dipsosaurus dorsalis",0
"TAXON_COUNT","Ave67",2017,"count","Dipsosaurus dorsalis",0
"TAXON_COUNT","BM",2013,"count","Dipsosaurus dorsalis",0
"TAXON_COUNT","BM",2014,"count","Dipsosaurus dorsalis",0
"TAXON_COUNT","BM",2015,"count","Dipsosaurus dorsalis",0
"TAXON_COUNT","BM",2016,"count","Dipsosaurus dorsalis",0
"TAXON_COUNT","BM",2017,"count","Dipsosaurus dorsalis",0
"TAXON_COUNT","Price",2013,"count","Dipsosaurus dorsalis",0
"TAXON_COUNT","Price",2014,"count","Dipsosaurus dorsalis",0
"TAXON_COUNT","Price",2015,"count","Dipsosaurus dorsalis",0
"TAXON_COUNT","Price",2016,"count","Dipsosaurus dorsalis",0
"TAXON_COUNT","Price",2017,"count","Dipsosaurus dorsalis",0
"TAXON_COUNT","Priest",2013,"count","Dipsosaurus dorsalis",0
"TAXON_COUNT","Priest",2014,"count","Dipsosaurus dorsalis",0
"TAXON_COUNT","Priest",2015,"count","Dipsosaurus dorsalis",0
"TAXON_COUNT","Priest",2016,"count","Dipsosaurus dorsalis",0
"TAXON_COUNT","Priest",2017,"count","Dipsosaurus dorsalis",0
"TAXON_COUNT","Rio",2013,"count","Dipsosaurus dorsalis",0
"TAXON_COUNT","Rio",2014,"count","Dipsosaurus dorsalis",0
"TAXON_COUNT","Rio",2015,"count","Dipsosaurus dorsalis",0
"TAXON_COUNT","Rio",2016,"count","Dipsosaurus dorsalis",0
"TAXON_COUNT","Rio",2017,"count","Dipsosaurus dorsalis",0
"TAXON_COUNT","Tonto",2013,"count","Dipsosaurus dorsalis",0
"TAXON_COUNT","Tonto",2014,"count","Dipsosaurus dorsalis",0
"TAXON_COUNT","Tonto",2015,"count","Dipsosaurus dorsalis",0
"TAXON_COUNT","Tonto",2016,"count","Dipsosaurus dorsalis",0
"TAXON_COUNT","Tonto",2017,"count","Dipsosaurus dorsalis",0
"TAXON_COUNT","Ave35",2013,"count","Hemidactylus turcicus",0
"TAXON_COUNT","Ave35",2014,"count","Hemidactylus turcicus",0
"TAXON_COUNT","Ave35",2015,"count","Hemidactylus turcicus",0
"TAXON_COUNT","Ave35",2016,"count","Hemidactylus turcicus",0
"TAXON_COUNT","Ave35",2017,"count","Hemidactylus turcicus",1
"TAXON_COUNT","Ave67",2013,"count","Hemidactylus turcicus",0
"TAXON_COUNT","Ave67",2014,"count","Hemidactylus turcicus",0
"TAXON_COUNT","Ave67",2015,"count","Hemidactylus turcicus",0
"TAXON_COUNT","Ave67",2016,"count","Hemidactylus turcicus",0
"TAXON_COUNT","Ave67",2017,"count","Hemidactylus turcicus",0
"TAXON_COUNT","BM",2013,"count","Hemidactylus turcicus",0
"TAXON_COUNT","BM",2014,"count","Hemidactylus turcicus",0
"TAXON_COUNT","BM",2015,"count","Hemidactylus turcicus",0
"TAXON_COUNT","BM",2016,"count","Hemidactylus turcicus",0
"TAXON_COUNT","BM",2017,"count","Hemidactylus turcicus",0
"TAXON_COUNT","Price",2013,"count","Hemidactylus turcicus",0
"TAXON_COUNT","Price",2014,"count","Hemidactylus turcicus",0
"TAXON_COUNT","Price",2015,"count","Hemidactylus turcicus",0
"TAXON_COUNT","Price",2016,"count","Hemidactylus turcicus",0
"TAXON_COUNT","Price",2017,"count","Hemidactylus turcicus",0
"TAXON_COUNT","Priest",2013,"count","Hemidactylus turcicus",0
"TAXON_COUNT","Priest",2014,"count","Hemidactylus turcicus",0
"TAXON_COUNT","Priest",2015,"count","Hemidactylus turcicus",0
"TAXON_COUNT","Priest",2016,"count","Hemidactylus turcicus",0
"TAXON_COUNT","Priest",2017,"count","Hemidactylus turcicus",0
"TAXON_COUNT","Rio",2013,"count","Hemidactylus turcicus",0
"TAXON_COUNT","Rio",2014,"count","Hemidactylus turcicus",0
"TAXON_COUNT","Rio",2015,"count","Hemidactylus turcicus",0
