radius,layer,mean,sd,min,max,site,subsite,lat,lon,area_ha
5,1,283.97588585733,0.95040919160394,282.009,286.44848484848,NTL,crystal_bog,46.008,-89.606,0.6
5,2,283.02182353709,0.87533146681608,281.6545,285.62058823529,NTL,crystal_bog,46.008,-89.606,0.6
5,3,282.40608472909,0.98958688287098,280.63822222222,285.82727272727,NTL,crystal_bog,46.008,-89.606,0.6
5,4,282.50319219506,1.3672651347136,279.79209302326,285.55058823529,NTL,crystal_bog,46.008,-89.606,0.6
5,5,285.01909291707,1.456560420308,282.6225,288.50137931034,NTL,crystal_bog,46.008,-89.606,0.6
5,6,284.53879766698,1.0596506739488,282.49853658537,288.06068965517,NTL,crystal_bog,46.008,-89.606,0.6
5,7,284.72477493749,1.2879200371822,282.4465,287.61470588235,NTL,crystal_bog,46.008,-89.606,0.6
5,8,283.04787983424,1.9898343471214,279.33813953488,286.93666666667,NTL,crystal_bog,46.008,-89.606,0.6
5,9,282.4730958537,1.4707751356711,279.87377777778,286.45515151515,NTL,crystal_bog,46.008,-89.606,0.6
5,10,285.42093298381,1.0676448700518,283.50047619048,289.94625,NTL,crystal_bog,46.008,-89.606,0.6
5,11,283.48881296691,1.110040216364,281.29954545455,286.97548387097,NTL,crystal_bog,46.008,-89.606,0.6
5,12,284.89612156116,0.93117964871564,283.27333333333,287.15028571429,NTL,crystal_bog,46.008,-89.606,0.6
5,13,282.73931298292,1.337864168983,279.7995,286.21806451613,NTL,crystal_bog,46.008,-89.606,0.6
5,14,282.83579437253,1.7979232281133,279.1635,287.12642857143,NTL,crystal_bog,46.008,-89.606,0.6
5,15,284.04283724078,1.1965324214538,281.55860465116,288.05939393939,NTL,crystal_bog,46.008,-89.606,0.6
5,16,285.26324815399,0.98268347714293,283.07170731707,287.67388888889,NTL,crystal_bog,46.008,-89.606,0.6
5,17,283.33259449138,1.363644611602,281.323,287.25272727273,NTL,crystal_bog,46.008,-89.606,0.6
10,1,284.86585015763,1.433337089949,282.009,289.68827586207,NTL,crystal_bog,46.008,-89.606,0.6
10,2,283.52456342244,1.1689296520341,281.53619047619,287.40875,NTL,crystal_bog,46.008,-89.606,0.6
10,3,282.97348566579,1.4277834901509,280.59377777778,288.9524137931,NTL,crystal_bog,46.008,-89.606,0.6
10,4,283.108314858,1.626126447294,279.58930232558,289.28896551724,NTL,crystal_bog,46.008,-89.606,0.6
10,5,285.93578664898,1.8679200761958,281.7755,291.56074074074,NTL,crystal_bog,46.008,-89.606,0.6
10,6,285.2429006264,1.3372395483342,282.32238095238,289.06551724138,NTL,crystal_bog,46.008,-89.606,0.6
10,7,285.32651007605,1.7005623006723,282.3780952381,291.9724137931,NTL,crystal_bog,46.008,-89.606,0.6
10,8,283.8434092094,1.9513624758778,279.33813953488,289.04285714286,NTL,crystal_bog,46.008,-89.606,0.6
10,9,282.89240117481,1.527156190168,279.71363636364,287.51878787879,NTL,crystal_bog,46.008,-89.606,0.6
10,10,285.90397589356,1.2692564340683,283.38093023256,290.71548387097,NTL,crystal_bog,46.008,-89.606,0.6
10,11,283.74221054845,1.1829170885121,281.29954545455,288.52846153846,NTL,crystal_bog,46.008,-89.606,0.6
10,12,285.16812136998,0.94787784555199,283.04790697674,288.492,NTL,crystal_bog,46.008,-89.606,0.6
10,13,282.92997130734,1.5520957388187,278.34904761905,289.8328,NTL,crystal_bog,46.008,-89.606,0.6
10,14,283.40636654634,1.680735788644,279.1635,289.3992,NTL,crystal_bog,46.008,-89.606,0.6
10,15,284.16481493856,1.3219414701039,281.55860465116,288.528125,NTL,crystal_bog,46.008,-89.606,0.6
10,16,285.17571018966,1.1430694773746,282.26,288.69266666667,NTL,crystal_bog,46.008,-89.606,0.6
10,17,283.36844795149,1.3640339230615,281.09435897436,287.95419354839,NTL,crystal_bog,46.008,-89.606,0.6
20,1,285.40685682159,1.5923385305517,281.5985,290.56,NTL,crystal_bog,46.008,-89.606,0.6
20,2,284.05782061521,1.3039879522166,281.50904761905,289.05741935484,NTL,crystal_bog,46.008,-89.606,0.6
20,3,283.55568876339,1.5553740278247,280.54857142857,289.92413793103,NTL,crystal_bog,46.008,-89.606,0.6
20,4,283.46683780742,1.781064350728,279.24818181818,289.58,NTL,crystal_bog,46.008,-89.606,0.6
20,5,286.53718014207,2.0452202243882,280.88684210526,292.72538461538,NTL,crystal_bog,46.008,-89.606,0.6
20,6,285.71585734009,1.4571364488747,282.13714285714,290.75161290323,NTL,crystal_bog,46.008,-89.606,0.6
20,7,285.8046651698,1.8025490302536,281.60333333333,292.18896551724,NTL,crystal_bog,46.008,-89.606,0.6
20,8,284.48051021232,2.0720604559405,279.22139534884,290.70296296296,NTL,crystal_bog,46.008,-89.606,0.6
20,9,283.42927229165,1.8980723831672,278.88727272727,289.76533333333,NTL,crystal_bog,46.008,-89.606,0.6
20,10,286.21857770107,1.5211628939427,281.99860465116,291.543125,NTL,crystal_bog,46.008,-89.606,0.6
20,11,284.13688630682,1.5207497379004,280.69348837209,289.43225806452,NTL,crystal_bog,46.008,-89.606,0.6
20,12,285.23411789222,1.1947295619356,281.60651162791,290.36064516129,NTL,crystal_bog,46.008,-89.606,0.6
20,13,283.04033392389,1.6334590648648,278.256,289.8328,NTL,crystal_bog,46.008,-89.606,0.6
20,14,283.83108903806,1.9413175061787,278.56102564103,290.01333333333,NTL,crystal_bog,46.008,-89.606,0.6
20,15,284.55418094777,1.5126580027886,281.03571428571,290.286,NTL,crystal_bog,46.008,-89.606,0.6
20,16,285.33853179874,1.4620410937748,281.99476190476,289.88344827586,NTL,crystal_bog,46.008,-89.606,0.6
20,17,283.63488370537,1.5300726282104,280.26536585366,289.04965517241,NTL,crystal_bog,46.008,-89.606,0.6
30,1,285.56241456753,1.5598394684359,281.5985,290.56,NTL,crystal_bog,46.008,-89.606,0.6
30,2,284.29068521424,1.3036151684722,281.19090909091,289.63862068966,NTL,crystal_bog,46.008,-89.606,0.6
30,3,283.77066025176,1.4858536340227,280.54727272727,289.92413793103,NTL,crystal_bog,46.008,-89.606,0.6
30,4,283.65716478244,1.7852807796983,279.24818181818,289.70258064516,NTL,crystal_bog,46.008,-89.606,0.6
30,5,286.75799614958,2.0506718807597,280.88684210526,293.70444444444,NTL,crystal_bog,46.008,-89.606,0.6
30,6,285.95978958129,1.422478803558,282.13714285714,290.75161290323,NTL,crystal_bog,46.008,-89.606,0.6
30,7,285.95268820842,1.7496008196193,281.60333333333,292.18896551724,NTL,crystal_bog,46.008,-89.606,0.6
30,8,284.67362977279,2.0827699336092,279.22139534884,292.335,NTL,crystal_bog,46.008,-89.606,0.6
30,9,283.66609716767,1.9028127196524,278.88727272727,289.90551724138,NTL,crystal_bog,46.008,-89.606,0.6
30,10,286.36719835473,1.5202156316723,281.99860465116,291.7025,NTL,crystal_bog,46.008,-89.606,0.6
30,11,284.29154032434,1.5286789273462,280.69348837209,291.4275862069,NTL,crystal_bog,46.008,-89.606,0.6
30,12,285.41043711311,1.1781296016783,281.60651162791,290.36064516129,NTL,crystal_bog,46.008,-89.606,0.6
30,13,283.08232604821,1.6708893373422,278.256,289.8328,NTL,crystal_bog,46.008,-89.606,0.6
30,14,284.02210043821,1.952533874148,278.56102564103,290.01333333333,NTL,crystal_bog,46.008,-89.606,0.6
