site,subsite,lat,lon
NTL,crystal_bog,46.008,-89.606
NTL,trout_bog,46.041,-89.686
NTL,crystal_lake,46.003,-89.612
NTL,big_muskellunge_lake,46.021,-89.612
NTL,sparkling_lake,46.008,-89.701
NTL,allequash_lake,46.038,-89.621
NTL,trout_lake,46.029,-89.665
NTL,fish_lake,43.287,-89.652
NTL,lake_mendota,43.099,-89.405
NTL,lake_wingra,43.053,-89.425
NTL,lake_monona,43.063,-89.361
