site,subsite,lat,lon
CSUN-USVI,Yawzi,18.31506678,-64.72551007
CSUN-USVI,Tektite,18.30996508,-64.72321746
CSUN-USVI,Cabritte Horn ,18.30713526,-64.72164419
CSUN-USVI,East Tektite ,18.31095579,-64.72181924
CSUN-USVI,Europa ,18.31673677,-64.72998517
CSUN-USVI,Neptune's Table ,18.3125466,-64.72301093
CSUN-USVI,West Little Lamshur Bay ,18.31725847,-64.72779501
CSUN-USVI,White Point ,18.31445176,-64.73130735
