site,subsite,lat,lon
SBC,ABUR,34.400275,-119.7445915
SBC,AHND,34.471817,-120.1426165
SBC,AQUE,34.46774988,-120.11905
SBC,BULL,34.45850533,-120.33349
SBC,CARP,34.3916319,-119.5416933
SBC,Goleta Bay,34.4137165,-119.8221
SBC,IVEE,34.402783,-119.85755
SBC,MOHK,34.3940708,-119.72957
SBC,NAPL,34.4221216,-119.95154
SBC,"Santa Cruz Island, Diablo",34.05865,-119.75763
SBC,"Santa Cruz Island, Twin Harbor West",34.0444335,-119.71513
