SITE_ID,DATE,AB,AL,AMZO,ANSP,AR,ARUD,AS,ATM,AU,BA,BAEL,BCAL,BF,BN,BO,BOW,BR,BRA,BRSP,CAL,CC,CESP,CF,CG,CHPR,CILU,CL,CO,COF,COST,CP,CRGI,CROC,CRYP,CUPI,CUSP,CY,CYOS,CZ,DC,DIOR,DL,DOFE,DP,DU,EA,EC,ECB,EGME,ER,ES,EUCL,EUPO,EUQU,FASP,FB,FG,FR,FTHR,GR,GS,GYSP,HAGL,HC,HIP,HPAC,IR,LAFA,LI,LINU,LNUT,LOCH,LS,LX,MC,MISE,MT,MUCA,MUFR,NANDERSON,NEO,OBSP,PA,PAFI,PAST,PHOR,PHSE,PHSP,PHTO,PIEL,PL,PLAB,PLUM,POLA,POPL,PRSP,PRUB,PTCA,PYST,R,RAT,SABW,SAFU,SAHO,SAMU,SC,SCCA,SE,SELO,ST,STIN,STMO,TALE,TC,TEAU,UAB,UIH,UM,UNAN,URLO,URPI,UT,UV,WASP
ABUR,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1175,0,0.0301492125,0.832044703333333,0,0,0,0,0,0.4125,0,0,0,0,0,0,0,0,0,0,0,0,11.25,16.875,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.40025,0,6.1,0,0,0,0,0,0,0,0,0,0,0,0.192247800987595,0,0,0,0,0,0,0,0,0,0,0,0
ABUR,2005,0,0,0,1.93973086590726,0,0,0.1258919,0,0,0.17198489625,0,0,0,0,0,0,12.4,0,0,0,2.1125,0,0,0,0.20366014375,0,0,2.6625,0,0,0,0,0,0,0,0,0,0.847,0,0.0301492125,0.2441870325,120.7125,0,0,0,0,0,0,1.59925,0,0,0,0,0,0,0,0,0,0,0,39.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003871155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186.486,0,3.05,0.8375,0,0,0,0,0,0,0,0,0,0,1.08940420559637,14.85,0,0,0,0.0091945575,0,0,0,0,0,0,0
ABUR,2006,0,0,0,0,0,0,0.06294595,0,0,0,0,0,4.85,0,0,0,0,0,0,0,2.1125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63525,2.1125,0,0.117571534166667,13.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.4375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.255875,0,1.525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABUR,2007,0,0,0,1.38552204707661,0,0,0.2517838,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5625,0,1.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21175,0,0,0.958660201666667,94.6125,0,0,0,0,1.65,0,4.79775,0.4125,0,0,0,0,0,0,0,0,0,2.8125,33.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287.381125,0,13.725,0,0,0.875,0,0,0,0,0,0,0,0,0.320413001645992,2.7,0,0,0,0,0,0,0,0,0,0,0
ABUR,2008,0,0,0,1.66262645649193,0,0,0.031472975,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1125,0,0,0,0,0,0,0,0,0,0,0,0.0282085875,0,0,0,0,0.0216666666666667,0,0,1.031011915,78.3,0,0,0,0,0.4125,0.020458125,9.5955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234.126666666667,0,3.05,0,0,0,0,0,0,0,0,0,0,0,3.39637781744751,0,0,0,0,0,0,0,0,0,0,0,0
ABUR,2009,0,0,0,0.554208818830644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.940572273333333,26.1,0,0,0,0,0,0,4.79775,0,0,0,0,0,0,0,0,0,0,0,16.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.714625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABUR,2010,0,0,0,0,0,0,0.031472975,0,0,0,0,0,14.55,0,0,0,1.55,0,0,0,8.45,0,0,0,0,0,0.04882650625,0,0,0,0,0,0,0,0,0,0,0,2.1125,0,0.262274960833333,65.25,0,0,0,0,0,0,1.59925,0,0,0,0,0,0,0,0,1,0.875,0,28.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003871155,0,0,0,0,0,0,0,2.1125,0,0,0,0,0,0,61.5673333333333,0,1.525,0,0,0,0,0,0,0,0,0,0,10.675,0,2.7,0,0,0,0,0,0,0,0,0,0,0
ABUR,2011,0,0,0,0.277104409415322,0,0,0.031472975,0,0,0.51595468875,0,0,0,0,0,0,4.65,0,0,0,0,0,0,0,0.20366014375,0,0,0,0,0,0,0,0,0,0,0,0,4.6375,0,0,3.5000141325,3.2625,0,0,0,0,0.4125,0,0.769541666666667,0,0,0,0,0,0,0,0,1,0.875,0,16.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005236545,0,0,0,0,606.527916666667,0,3.05,0,0,0,0,0,0,0,0,0,0,3.05,1.43764195301941,1.35,0,0,0,0,0,0.11175616,0,0,0,0,0
ABUR,2012,0,0,0,0.277104409415322,0,0,0.06294595,0,0,0.687939585,0,0,0,0,0,0,0,0,0,0,0,0,0.875,0,0,0,0,0,0,0,0,0,0,4.85,0,0,0,4.975,0,0,3.40957449083333,0,0,0,0,0,1.2375,0,19.112625,0,0,0,0,0,0,0,0,0,0,0,8.4375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0026182725,0,0,0,0,249.536666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.506542663532362,0,0,0,0,0,0,0,0,0,0,0,0
ABUR,2013,0,0,0,0.2771044,0,0,0,0,0,0,0,0.03182896,0,0,0,0,0,0,0,0,2.1125,0,0.875,0,0,0,0,0,0,0,0,0,0.05641717,0,0,0,0,0,0,0,2.523266,0,0,0,0,0,0,0.04091625,20.52838,0,0.6220913,0.4037038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172.0306,0.2810547,0,0,0,0,0,0,0,0,0,0,0,0,0.9381087,0,0,0,0,0,0,0,0,0,0.3121771,0,0
